player_id,player_display_name,position,season,recent_team,games,racr,target_share,air_yards_share,wopr,receptions_per_game,targets_per_game,receiving_yards_per_game,receiving_tds_per_game,receiving_fumbles_per_game,receiving_air_yards_per_game,receiving_yards_after_catch_per_game,receiving_first_downs_per_game,receiving_epa_per_game,fantasy_points_ppr_per_game,fantasy_points_ppr_per_game_next_year
00-0030506,Travis Kelce,TE,2019,KC,16,1.0,0.24,0.25,0.54,6.06,8.5,76.81,0.31,0.06,76.5,25.62,4.12,3.92,15.89,20.85
00-0030506,Travis Kelce,TE,2020,KC,15,1.14,0.24,0.24,0.53,7.0,9.67,94.4,0.73,0.07,82.87,39.13,5.27,5.01,20.85,16.42
00-0030506,Travis Kelce,TE,2021,KC,16,1.13,0.21,0.2,0.46,5.75,8.38,70.31,0.56,0.06,62.12,35.25,3.94,3.18,16.42,18.61
00-0030506,Travis Kelce,TE,2022,KC,17,1.25,0.25,0.23,0.53,6.47,8.94,78.71,0.71,0.06,63.18,38.65,4.59,3.88,18.61,14.63
00-0030506,Travis Kelce,TE,2023,KC,15,1.22,0.2,0.2,0.44,6.2,8.07,65.6,0.33,0.07,53.8,31.33,3.4,3.2,14.63,12.21
00-0030506,Travis Kelce,TE,2024,KC,16,0.93,0.23,0.23,0.51,6.06,8.31,51.44,0.19,0.12,55.19,21.31,2.94,1.29,12.21,
00-0030514,Mychal Rivera,TE,2015,LV,15,0.8,0.08,0.07,0.17,2.13,3.07,18.67,0.07,0.13,23.2,8.33,0.8,0.44,4.4,4.32
00-0030514,Mychal Rivera,TE,2016,LV,10,0.85,0.04,0.05,0.1,1.8,2.5,19.2,0.1,0.0,22.5,6.2,1.1,0.59,4.32,
00-0030544,Gavin Escobar,TE,2015,DAL,8,0.81,0.03,0.02,0.05,1.0,1.62,8.0,0.12,0.12,9.88,3.38,0.62,-0.4,2.3,
00-0030549,Tyler Eifert,TE,2015,CIN,13,1.1,0.15,0.13,0.31,4.0,5.69,47.31,1.0,0.0,42.85,17.92,2.92,4.0,14.73,12.3
00-0030549,Tyler Eifert,TE,2016,CIN,8,1.07,0.09,0.08,0.19,3.62,5.88,49.25,0.62,0.0,45.88,16.5,2.88,3.09,12.3,6.66
00-0030549,Tyler Eifert,TE,2019,CIN,16,0.84,0.11,0.1,0.23,2.69,3.94,27.25,0.19,0.0,32.56,7.0,1.5,1.52,6.66,5.53
00-0030549,Tyler Eifert,TE,2020,JAX,15,0.69,0.1,0.1,0.23,2.4,4.0,23.27,0.13,0.0,33.53,6.8,1.47,-0.08,5.53,
00-0030710,Trey Burton,TE,2015,PHI,12,2.0,0.01,0.01,0.01,0.25,0.33,4.5,0.0,0.0,2.25,2.58,0.08,0.16,0.7,5.41
00-0030710,Trey Burton,TE,2016,PHI,14,0.74,0.1,0.1,0.22,2.64,4.29,23.36,0.07,0.0,31.57,9.79,1.43,0.26,5.41,5.7
